Ticker,Company,Sector,Industry,Country,Market Cap,Price,Change (%),Volume,Price to Earnings Ratio,Price to Earnings,Forward Price to Earnings,Price/Earnings to Growth,Price to Sales,Price to Book,Price to Cash,Price to Free Cash Flow,Earnings Per Share This Year (%),Earnings Per Share Next Year (%),Earnings Per Share Past 5 Years (%),Earnings Per Share Next 5 Years (%),Sales Past 5 Years (%),Dividend (%),Return on Assets (%),Return on Equity (%),Return on Investment (%),Current Ratio,Quick Ratio,Long-Term Debt to Equity,Debt to Equity,Gross Margin (%),Operating Margin (%),Profit Margin,Outstanding Shares,Float,Insider Ownership (%),Insider Transactions (%),Institutional Ownership (%),Float Short (%),Short Ratio,Average Volume,Performance (Week) (%),Performance (Month) (%),Performance (Quarter) (%),Performance (Half Year) (%),Performance (Year) (%),Performance (Year to Date) (%),Volatility (Week) (%),Volatility (Month) (%),Analyst Recommendation,Relative Volume,Beta,Average True Range,Simple Moving Average (20) (%),Simple Moving Average (50) (%),Simple Moving Average (200) (%),Yearly High (%),Yearly Low (%),Relative Strength Index,Change from Open (%),Gap (%),Volume2
APVO,Aptevo Therapeutics Inc,Healthcare,Biotechnology,USA,3370000,0.19,4.77,323427,-,-,-,-,-,0.19,0.18,-,-262.41,38.65,,,13.59,,-59.9,-115.6,-79.59,3.09,3.09,0.38,0.38,71.07,0,-,17620000,17420000,1.11,,2.36,0.15,0.05,523200,-3.61,-17.6,-50.78,-87.85,-94.48,-91.72,8.52,12.7,1,1.22,4.94,0.02,1.45,-25.95,-81.92,-97.33,26.57,41.87,1.59,3.62,323427
APWC,Asia Pacific Wire & Cable,Industrials,Electrical Equipment & Parts,Taiwan,26390000,1.28,-7.91,3205,-,-,-,-,-,0.17,0.49,-,,,-21.03,,3.07,,,,,2.24,1.26,0.09,0.4,,-0.39,-,20620000,3930000,80.96,,1.05,0.02,0.27,2390,-5.19,-1.54,-21.95,-23.81,-5.19,-11.11,2.43,4.74,-,2.21,0.65,0.09,-5.04,-3.71,-18.16,-45.76,4.92,45.21,-0.78,-7.19,3205
APXI,APx Acquisition Corp I,Financial,Shell Companies,Mexico,123210000,11.13,0.18,16,83.87,83.87,-,-,-,1.86,1368.99,-,,,,,0,,2.2,2.32,4.11,0.05,0.05,0,0.02,,0,-,17450000,6760000,38.96,,6.83,0,0,13510,0.18,1.18,3.82,8.06,12.2,8.32,0,0.04,-,0,0.01,0.02,0.74,1.52,6.02,0.09,12.88,76.87,0.18,0,16
APYX,Apyx Medical Corp,Healthcare,Medical Devices,USA,72570000,2.1,-0.94,16943,-,-,-,-,1.47,2.24,3.4,-,35.82,-14.42,-32.11,15,39.45,,-26.42,-40.23,-31.97,4.87,3.78,0.42,0.43,27.09,-39.98,-30.13%,34600000,30170000,12.92,0.007,-0.48,6.69,12.37,163050,0.69,32.12,-49.89,-68.81,14.14,-6.84,8.63,15.87,1.8,0.68,1.22,0.3,-1.2,-10.81,-45.64,-72.65,54.61,46.11,0,2.83,16943
AQB,AquaBounty Technologies Inc,Consumer Defensive,Farm Products,USA,10050000,2.6,-13.57,54965,-,-,-,-,3.93,0.05,0.56,-,-8.28,59.19,21.71,,227.04,,-12.14,-13.59,-13.91,1.97,1.8,0.05,0.05,-624.1,-1059.43,-1063.23%,3850000,3610000,6.08,,-70.38,3.7,2.53,52650,-9.52,-12.65,-52,-68.02,-81.25,-85.08,27.02,17.93,3,2.66,1.22,0.46,2.55,-25.42,-68.46,-90.34,45.22,46.53,-24,-0.33,54965
AQMS,Aqua Metals Inc,Industrials,Waste Management,USA,87330000,0.81,1.15,105019,-,-,-,-,3018.68,2.55,3.52,-,0,20,31.09,35,-2.53,,-46.48,-60.74,-46.58,7.45,7.2,0.08,0.09,-20896,-70820,-71528.00%,107810000,94440000,12.41,0.013,1.2,5.34,18.95,265990,1.35,-10.12,-20.75,-24.84,28.24,-30.26,9.85,8.64,1,1.23,1.26,0.07,0.21,-4.02,-19.01,-50.61,74.36,49.92,8.97,-1.25,105019
AQN,Algonquin Power & Utilities Corp,Utilities,Utilities - Renewable,Canada,4290000000,6.03,-0.66,1224943,-,-,11.16,-,1.56,0.91,45.5,-,-24.31,3.81,,0.3,12.83,7.4,-1.3,-4.52,-1.89,0.66,0.5,1.59,1.71,21.08,17.8,-8.72%,712140000,688480000,3.32,,,4.73,6.74,4840000,-4.4,8.77,-15.2,-29.3,-16.14,-6.75,2.42,2.81,2.91,0.64,0.71,0.17,1.17,6.75,-18.03,-33.48,24.08,55.43,1,-0.82,1224943
AQNU,Algonquin Power & Utilities Corp,Utilities,Utilities - Renewable,Canada,14970000000,21.02,-0.83,10096,-,-,-,-,5.47,3.18,158.93,-,,,,,12.83,18.34,-1.3,-4.52,-1.89,0.66,0.5,1.59,1.71,21.08,17.8,-8.72%,23000000,23000000,96.77,,,0.07,0.23,68620,-4.26,4.44,-15.9,-29.45,-16.57,-11.4,1.87,2.54,-,0.26,0.81,0.54,-2.02,1.99,-20.01,-34.01,16.53,46.4,-0.42,0.19,10096
AQST,Aquestive Therapeutics Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,133540000,2,-4.76,294259,-,-,-,-,2.81,-,5.4,22.37,88.84,-138.67,-19.73,,-5.88,,-21.76,,-1868.98,1.76,1.47,-,-,55.19,-45.58,-25.20%,66770000,62960000,5.7,,-3.89,3.05,6.2,309820,-20.24,15.2,18.67,-5.29,116.48,118.38,10.84,8.64,1,2.3,2.72,0.18,-1.43,15.73,20.93,-26.77,173.61,50.17,-4.83,-1.43,294259
AQU,Aquaron Acquisition Corp,Financial,Shell Companies,USA,48500000,10.66,0,0,73.11,73.11,-,-,-,1.77,1.55,-,,,,,0,,5.55,6.48,3.24,7.73,7.73,0,0.03,,0,-,7110000,2870000,36.96,,,0.11,0.56,5570,-0.37,-0.09,2.6,4.82,,6.29,0.21,0.79,-,0,0.03,0.11,-0.1,0.36,2.94,-9.52,6.93,50.31,0,-0.09,0
AQWA,Global X Clean Water ETF,Financial,Exchange Traded Fund,USA,,15.73,0,843,-,-,-,-,-,-,-,-,,,,,,1.55,,,,-,-,-,-,,,-,,,,,,,-,1300,1.22,8.75,6.69,3.41,10.27,14.17,0.33,0.47,-,1.26,1.04,0.11,2.91,8.01,6.47,-2.29,16.1,77.14,0.51,-0.13,843
AR,Antero Resources Corp,Energy,Oil & Gas E&P,USA,6230000000,20.77,-0.73,2272357,7.47,7.63,8.99,-,1.21,0.93,-,6.53,-85.95,221.47,24.35,,36.55,,6.24,13.44,7.95,0.29,0.29,0.61,0.69,24.73,20.54,16.75%,297360000,277290000,7.74,0,-3.42,6.89,4.07,4690000,-7.99,-19.09,-21.66,2.32,-31.89,-31.62,4.43,3.52,2.19,1.48,3.26,0.94,-12.71,-19.26,-13.66,-38.86,6.42,24.28,5.16,-3.68,2272357
ARAV,Aravive Inc,Healthcare,Biotechnology,USA,9540000,0.13,-0.23,444485,-,-,-,-,1.36,5.61,1.12,-,90.48,55,,,44.68,,-144.19,-475.98,-1985.4,0.98,0.98,0.18,1.43,87.42,-847.42,-569.65%,59840000,45110000,38.68,,-23.86,7.93,0.58,6200000,-10.43,-2.85,-10.74,-91.96,-91.64,-90.43,6.42,10.08,2.5,0.14,2.23,0.02,-8.2,-9.36,-87.31,-94.87,14.82,43.02,-4.61,1.85,444485
ARAY,Accuray Inc,Healthcare,Medical Devices,USA,249960000,2.58,-2.83,114885,-,-,28.94,-,0.55,4.95,3.27,-,83.33,639.99,19.06,,2.19,,-1.44,-13.89,-2.79,1.65,0.9,3.78,4.02,34.91,1.67,-1.49%,96530000,90960000,6.3,-0.041,-4.28,6.13,14.31,389860,-1.89,6.15,-5.82,-33.76,33.51,23.92,4.21,4.62,1,0.97,1.54,0.12,-1.86,-4.36,-17.77,-39.75,40,45.84,-1.15,-1.13,114885
ARB,AltShares Merger Arbitrage ETF,Financial,Exchange Traded Fund,USA,,26.47,0,415,-,-,-,-,-,-,-,-,,,,,,4.06,,,,-,-,-,-,,,-,,,,,,,-,9620,0.08,1.01,1.11,5.94,-0.69,2.84,0.2,0.23,-,0.14,0.08,0.07,0.33,0.7,3.09,-1.3,8.12,63.14,0.08,0,415
ARBB,ARB IOT Group Ltd,Technology,Information Technology Services,Malaysia,24670000,0.94,-1.05,4128,-,-,9,-,-,-,-,-,-68,25,,,,,,,,-,-,-,-,,,-,,1250000,95.24,,,0.06,0.08,10280,-10.65,-18.77,-50.91,-73.57,,-76.79,2.98,9.55,1,0.73,-,0.09,-11.99,-26.02,-63.83,-83.45,10.56,37.69,0.39,-6.32,4128
ARBE,Arbe Robotics Ltd,Technology,Software - Infrastructure,Israel,138580000,1.79,-3.24,31045,-,-,-,-,109.73,2.94,2.81,-,17.75,34.04,,,28.19,,-73.39,-86.38,-95.16,10.09,10.09,0,0,6.53,-3844.58,-3563.36%,64160000,46980000,39.32,,-0.94,0.6,6.31,44930,-6.19,-1.09,-29.18,-36.14,-43.65,-46.63,3.71,5.71,1,0.84,-0.15,0.11,-6.31,-9.48,-30.71,-76.08,6.13,39.21,-2.67,1.08,31045
ARBK,Argo Blockchain Plc ADR,Financial,Capital Markets,United Kingdom,86640000,1.66,-10.75,415159,-,-,-,-,1.71,-,10.27,-,87.25,24.37,-103.37,,344.1,,-91.17,-210.31,-402.3,0.59,0.59,-,-,-2.26,-68.21,-419.70%,53530000,53530000,,,-9.79,0.14,0.35,204340,-5.95,38.6,44.95,33.9,123.73,46.3,18.31,11.3,2.5,3.47,0.88,0.18,22.84,34.28,17.94,-50.62,338.89,58.84,-7.6,-8.06,415159
ARC,ARC Document Solutions Inc,Industrials,Specialty Business Services,USA,126950000,2.95,-0.17,27133,11.42,11.38,10.16,-,0.45,0.8,2.46,5.13,-5.36,9.43,,,-5.64,6.85,3.67,7.25,4.83,1.59,1.46,0.48,0.6,33.93,6.57,4.00%,43100000,36170000,15.8,,-2.15,0.22,0.66,121380,-1.02,8.18,-12.08,-5.52,-4.9,-0.68,2.78,3.48,1,0.57,1.24,0.1,1.59,0.11,-6.74,-24.81,11.07,50.81,-1.36,-0.34,27133
ARCB,ArcBest Corp,Industrials,Trucking,USA,2560000000,107.79,-0.19,60695,23.52,23.69,10.32,-,0.56,2.12,7.55,25.68,-43.03,35.38,39.02,-2.1,14.71,0.38,5.36,11.14,7.25,1.33,1.33,0.29,0.37,8.17,4.21,2.48%,24230000,23130000,2.26,-0.135,-1.39,5.4,3.06,407510,-12.9,-5.27,9.44,26.18,41.26,55.11,5.13,3.32,1.64,0.62,1.46,4.51,-8.21,-0.39,8.83,-13.42,59.76,40.69,1.4,-0.58,60695
ARCC,Ares Capital Corporation,Financial,Asset Management,USA,11410000000,20.04,-0.2,2284982,8.68,8.7,8.62,-,4.49,1.06,-,-,15.8,-0.4,5.34,-0.9,,9.57,,,,-,-,-,-,,,-,569440000,565270000,0.6,,,3.47,6.76,2910000,1.01,3.08,2.24,5.3,5.97,8.61,1,0.75,1.7,1.59,1.04,0.19,1.41,3.4,5.78,-0.55,18.35,64.17,-0.55,0.45,2284982
ARCE,Arco Platform Ltd,Consumer Defensive,Education & Training Services,Brazil,921700000,13.98,0,0,-,-,22.67,-,2.45,1.63,8.59,390.55,179.92,-7.36,-13.11,18.68,35.47,,-0.58,-1.5,-0.74,1.26,1.06,0.67,0.72,61.11,5.15,-1.86%,28510000,26970000,59.08,,,3.51,4.02,235810,0.07,0.79,1.82,15.16,14.4,3.56,0.14,0.25,2,0,0.42,0.03,0.11,0.68,8.67,-1.69,31.51,62.27,0,0,0
ARCH,Arch Resources Inc,Basic Materials,Coking Coal,USA,2940000000,160.83,-1.91,100766,3.91,3.91,6.11,-,0.91,2.11,13.79,6.59,-61.17,6.03,45.38,,16.39,6.75,34.98,63.48,54.14,2.27,1.61,0.08,0.1,22.06,18.99,25.37%,17550000,17220000,6.24,-0.01,-5.52,5.24,2.23,403710,-3.24,12.47,13.38,55.31,18.99,21.77,3.15,3.16,1,1.1,0.74,5.38,0.94,4.16,22.09,-7.55,63.21,52.76,-0.6,-0.91,100766
ARCM,Arrow Reserve Capital Management ETF,Financial,Exchange Traded Fund,USA,,99.97,0,0,-,-,-,-,-,-,-,-,,,,,,4.03,,,,-,-,-,-,,,-,,,,,,,-,2970,0.14,0.32,0.25,0.41,0.71,0.36,0.07,0.03,-,0,0.02,0.13,0.09,0.17,0.42,-0.82,0.85,53.8,0,0,0
ARCO,Arcos Dorados Holdings Inc,Consumer Cyclical,Restaurants,USA,2590000000,12.27,0.33,474883,14.37,14.32,13.61,0.34,0.62,5.84,10.26,263.72,26.87,5.88,2.06,42.56,5.2,1.77,6.8,52.68,9.16,0.77,0.71,3.45,3.66,14.09,7.64,4.31%,130590000,123780000,41.22,,2.63,2.93,3.93,925130,1.42,26.61,22.66,35.03,66.62,45.69,2.64,3.33,1,1.15,1.29,0.36,7.03,19.48,29.14,-2.48,73.63,73.97,-0.25,0,474883
ARCT,Arcturus Therapeutics Holdings Inc,Healthcare,Biotechnology,USA,620040000,23.18,-2.69,72974,6.41,6.43,-,-,2.12,2.21,1.79,4.68,-600.58,-89.87,,,319.08,,26.44,46.66,30.37,4.49,4.49,0.17,0.18,,43.74,33.90%,26550000,24330000,8.95,-0.023,-0.12,20.82,12.56,403370,-2.5,23.76,-23.14,-14.67,29.66,37.91,4.51,7.51,1.33,0.66,2.54,1.59,0.97,5.5,-8.95,-38.04,64.6,51.64,-1.35,-0.34,72974
ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",Financial,Closed-End Fund - Debt,USA,296750000,12.99,0.31,94703,9.9,9.89,-,-,-,-,-,-,,,,,,10.36,,,,-,-,-,-,,,-,22910000,22880000,,,,0.1,0.26,92200,1.33,2.13,0.86,7.57,8.38,11.56,1.14,1.13,1,1.62,0.7,0.15,1.15,2.88,4.63,-0.69,13.42,60.9,-0.46,0.31,94703
ARDX,Ardelyx Inc,Healthcare,Biotechnology,USA,1180000000,5.07,-3.06,2183187,-,-,-,-,8.89,6.24,7.23,-,28.73,19.6,20.81,30,100.41,,-12.24,-20.6,-12.01,5.54,5.35,0.16,0.18,85.41,-17.24,-19.79%,232140000,222750000,4.05,-0.019,50.55,17.11,5.96,6400000,4.44,45.51,7.25,29.82,184.62,81.75,4.7,5.65,1,0.73,0.87,0.25,16.92,28.24,29.86,-4.95,204.71,69.77,-1.71,0.76,2183187
ARE,Alexandria Real Estate Equities Inc.,Real Estate,REIT - Office,USA,20660000000,118.85,-0.44,221010,85.32,85.26,33.05,-,7.38,1.09,36.39,12.89,-32.46,99.25,14.99,-10.96,18.15,4.15,0.66,1.3,0.77,-,-,0.64,0.64,31.63,16.33,8.44%,173780000,171910000,1.08,-0.002,-1.04,3.38,4.48,1300000,-0.38,26.28,6.87,-1.29,-19.66,-18.01,2.17,2.97,1.31,0.73,1.07,3.43,9.64,17.13,3.36,-30.82,31.64,71.24,0.47,-0.47,221010
AREB,American Rebel Holdings Inc,Consumer Cyclical,Footwear & Accessories,USA,1710000,0.34,-1.65,36137,-,-,-,-,0.11,0.15,1,-,,,39.7,,272.02,,-25.39,-34.86,-32.39,2.23,0.75,0.03,0.32,21.2,-35.68,-28.66%,5020000,4990000,0.64,,,2.85,0.54,262710,-1.67,-0.45,-61.01,-91.12,-94.15,-93.05,13.05,10.96,1,0.35,-,0.04,-2.89,-21.87,-85.34,-95.6,11.43,40.31,-4.17,1.24,36137
AREC,American Resources Corporation,Basic Materials,Coking Coal,USA,118190000,1.51,-3.87,168559,12.16,12,-,-,5.44,7.73,37.25,-,-800,,73.41,,194.85,,11.99,295.54,12.7,0.72,0.58,3.47,3.89,10.6,-92.8,39.04%,66780000,52330000,33.14,,58.36,6.29,15.78,208610,-11.76,11.94,21.95,-15.25,20,13.64,6.24,8.28,1,1.49,0.38,0.11,-7.16,-3.29,-2.73,-30.56,44.23,42.99,-3.23,-1.27,168559
AREN,Arena Group Holdings Inc,Communication Services,Internet Content & Information,USA,65290000,2.71,-4.4,2757,-,-,-,-,0.27,-,8.66,-,62.06,90.49,15.33,,1668.74,,-34.29,,-273.73,0.34,0.34,-,-,33.99,-18.49,-27.09%,18300000,9070000,17.77,-0.629,4.98,0.92,2.21,37750,-23.39,-34.5,-35.63,-27.82,-80.21,-75.31,15.22,21,1,0.21,0.24,0.54,-10.87,-26.77,-36.57,-84.12,49.29,43.24,-8.39,0.7,2757
ARES,Ares Management Corp,Financial,Asset Management,USA,20950000000,110.76,0.02,93997,51.65,51.75,23.39,2.09,5.57,12.03,17.53,17.72,6.19,33.41,7.05,24.8,34.59,2.8,1.81,24.88,2.53,-,-,8.19,8.2,76.86,28.35,10.71%,173890000,153830000,18.64,-0.265,0.96,2.94,4.47,1010000,1.21,4.76,4.83,19.16,58.52,61.78,2.07,2.33,1.93,0.38,1.22,2.48,1.9,4.06,16.47,-1.5,67.66,57.09,-0.31,0.38,93997
ARGT,Global X MSCI Argentina ETF,Financial,Exchange Traded Fund,USA,,50.54,-0.34,42878,-,-,-,-,-,-,-,-,,,,,,1.45,,,,-,-,-,-,,,-,,,,,,,-,51770,2.21,27.77,13.2,18.04,62.12,49.69,1.84,2.31,-,1.71,1.41,1.26,8.25,18.53,19.3,-1.4,65.74,73.19,0.32,-0.2,42878
ARGX,Argen X SE ADR,Healthcare,Biotechnology,Netherlands,26450000000,447.2,-1.23,126773,-,-,-,-,33.2,8.82,13.33,-,63.78,72.57,-58.97,,240.35,,-12.34,-13.64,-13.87,8.47,7.84,0,0,78.64,-70.35,-49.50%,59080000,58840000,0.41,,-7.14,1.42,3.24,257780,-0.93,-5.86,-13.08,14.01,16.43,19.71,2.34,2.15,1.42,1.48,0.74,12.54,-4.09,-5.71,3,-17.66,36.16,40.24,-0.15,0.16,126773
ARHS,Arhaus Inc,Consumer Cyclical,Home Improvement Retail,USA,1360000000,9.7,3.42,154966,9.64,9.74,13.01,-,1.06,4.42,5.67,15.22,-17.83,-9.98,,-5.1,37.96,,13.94,60.1,19.5,1.49,0.79,1.34,1.49,42.86,14.44,10.85%,51440000,38420000,72.51,-0.153,0.17,10.47,5.11,787830,1.73,18.69,0.89,12.22,-1.07,-0.67,3.51,4.04,1.36,1.03,2.35,0.39,7.1,7.92,3.22,-36.57,43.48,60.92,2.49,0.85,154966
ARI,Apollo Commercial Real Estate Finance Inc,Real Estate,REIT - Mortgage,USA,1600000000,11.28,1.03,231802,-,-,9.66,-,2.18,0.72,5.2,7.07,-20.5,-4.19,2.11,0.07,21.4,12.35,0.03,0.14,-0.11,-,-,2.62,3.04,84.39,47.81,-1.24%,140600000,139470000,1.34,-0.026,-0.74,2.98,5.16,806000,1.34,10.12,5.99,2.07,-3.17,5.2,2.52,1.84,3,1.01,1.71,0.24,4.88,9.94,8.88,-11.18,31.93,65.6,1.8,-0.45,231802
ARIS,Aris Water Solutions Inc,Utilities,Utilities - Regulated Water,USA,226650000,7.58,-1.82,47853,15.76,15.82,7.16,-,0.62,0.72,9.52,-,1.28,36.25,,,39.35,4.69,1.16,5.14,1.88,1.11,1.11,1.39,1.39,33.65,19.67,3.86%,29920000,24800000,17.4,,-3.14,4.09,3.71,273470,-7.99,-9.74,-24.45,-20.42,-49.4,-47.26,4.34,4.28,1.5,0.78,1.46,0.37,-7.18,-13.08,-19.91,-54.92,13.57,37.21,-0.39,-0.91,47853
ARIZ,Arisz Acquisition Corp,Financial,Shell Companies,USA,96210000,10.81,0,0,80.43,80.36,-,-,-,3.43,601.86,-,,,,,0,,2.09,2.26,3.81,0.08,0.08,0,0.07,,0,-,8900000,5270000,40.81,,-0.6,0.01,0.02,19360,0.09,0.75,2.18,5.88,9.76,6.93,0.15,0.06,-,0.09,0,0.02,0.35,0.75,4.37,-6.31,8.32,65.53,0,-0.09,0
ARKD,ARK 21Shares Blockchain and Digital Economy Innovation ETF,Financial,Exchange Traded Fund,USA,,30.16,-5.06,948,-,-,-,-,-,-,-,-,,,,,,,,,,-,-,-,-,,,-,,,,,,,-,2450,-0.95,,,,,15.14,1.48,,-,1,-,0.79,6.88,6.88,6.88,-5.62,19.51,-,-2.05,-3.65,948
ARKF,ARK Fintech Innovation ETF,Financial,Exchange Traded Fund,USA,,25,-1.06,529060,-,-,-,-,-,-,-,-,,,,,,,,,,-,-,-,-,,,-,,,,,,,-,503800,1.66,24.65,18.71,24.53,62.97,76.1,2.1,2.2,-,2.2,1.61,0.57,9.53,22.12,25.89,-0.3,86.15,78.25,0.56,-0.79,529060
ARKG,ARK Genomic Revolution ETF,Financial,Exchange Traded Fund,USA,,27.97,-2.38,1289169,-,-,-,-,-,-,-,-,,,,,,,,,,-,-,-,-,,,-,,,,,,,-,2270000,-2.71,18.47,-9.9,-16.86,-9.12,0.64,3.25,3.82,-,1.15,1.51,1.09,3.47,9.42,-5.87,-27.1,29.31,57.69,-0.18,-0.49,1289169
ARKK,ARK Innovation ETF,Financial,Exchange Traded Fund,USA,,48.17,-2.38,7119694,-,-,-,-,-,-,-,-,,,,,,,,,,-,-,-,-,,,-,,,,,,,-,16620000,-0.33,24.15,10.27,12.13,38.03,55.35,2.49,2.88,-,0.82,1.76,1.42,7.31,18.84,17.71,-5.45,64.9,68.17,-0.1,-1.22,7119694
ARKO,ARKO Corp,Consumer Cyclical,Specialty Retail,USA,898850000,7.69,-1.16,47621,23.08,23.19,28.33,-,0.1,3.16,4.03,19.19,-36.79,-18.66,,,28.12,1.55,1.35,12.19,1.42,1.49,0.99,6.35,6.58,3.32,1.57,0.43%,120070000,70150000,39.94,,-1.08,3.88,8.86,307670,0,7.66,2.93,-3.25,-15.98,-10.74,2.27,2.62,1.8,0.67,0.32,0.2,2.49,2.38,-1.89,-18.03,15.37,55.66,-0.64,0,47621
ARKQ,ARK Autonomous Technology & Robotics ETF,Financial,Exchange Traded Fund,USA,,54.9,-0.71,29505,-,-,-,-,-,-,-,-,,,,,,,,,,-,-,-,-,,,-,,,,,,,-,67340,-0.16,13.3,0.55,1.01,23.79,34.36,1.64,1.7,-,1.13,1.35,1,4.32,7.62,6.86,-7.91,40.03,65.06,0.05,-0.2,29505
ARKR,Ark Restaurants Corp.,Consumer Cyclical,Restaurants,USA,55800000,15.5,0.19,772,10.86,10.93,-,-,0.3,0.92,4.02,7.75,,,17.71,,7.55,4.4,2.81,8.62,3.29,0.85,0.73,1.58,1.75,10.69,3.89,2.78%,3600000,1780000,50.49,,6.87,0.67,4.39,2730,1.89,1.89,-2.19,-13.7,-17.4,-5.68,1.93,1.66,-,0.65,1.01,0.31,1.29,1.66,-8.82,-21.74,5.26,53.6,0.97,0.32,772
ARKW,ARK Next Generation Internet ETF,Financial,Exchange Traded Fund,USA,,70.65,-2.02,145901,-,-,-,-,-,-,-,-,,,,,,,,,,-,-,-,-,,,-,,,,,,,-,285000,1.09,22.3,20.21,27.9,65.59,83.63,2.14,2.35,-,1.24,1.68,1.72,8.38,20.92,27.04,-1.63,96.53,72.59,-0.48,-1.07,145901
ARKX,ARK Space Exploration & Innovation ETF,Financial,Exchange Traded Fund,USA,,14.65,-0.37,15978,-,-,-,-,-,-,-,-,,,,,,,,,,-,-,-,-,,,-,,,,,,,-,40410,-1.08,10.47,2.73,0.38,14.16,18.4,1.15,1.37,-,1.21,1.17,0.22,3.12,7.07,4.45,-6.2,23.02,64.2,0,-0.14,15978
ARKZ,ARK 21Shares Active Ethereum Futures Strategy ETF,Financial,Exchange Traded Fund,USA,,27.78,-7.2,62,-,-,-,-,-,-,-,-,,,,,,,,,,-,-,-,-,,,-,,,,,,,-,4450,-1.64,,,,,10.43,2.06,,-,0.66,-,1.01,3.97,3.97,3.97,-7.31,13.22,-,-1.1,-6.27,62
ARL,American Realty Investors Inc.,Real Estate,Real Estate - Development,USA,273900000,16.96,5.93,53,5.53,5.11,-,-,5.09,0.41,1.16,-,,,,,0.11,,4.48,8.33,6.18,-,-,0.29,0.29,5.83,-15.27,99.52%,16150000,1460000,90.96,,-1.57,1.67,5.07,4790,3.64,20.99,-12.45,-19.38,-27.04,-38.87,3.91,4.83,-,0.34,0.73,0.72,6.78,11.41,-16.65,-50.36,34.13,58.78,-2.06,0,53
ARLO,Arlo Technologies Inc,Industrials,Building Products & Equipment,USA,868700000,9.16,-2.4,128278,-,-,23.49,-,1.84,9.68,6.94,56.39,458.57,56.57,,,7.21,,-14.27,-47.87,-41.5,1.4,1.11,0.2,0.25,32.07,-9.57,-9.46%,94630000,89230000,5.71,-0.096,0.44,5.34,5.8,822540,-6.95,4.52,-11.32,-0.54,172.57,163.25,4.01,4.88,1.4,0.64,1.61,0.41,2.38,2.46,5.9,-19.93,200.98,51.72,-1.49,-0.11,128278
ARLP,"Alliance Resource Partners, LP",Energy,Thermal Coal,USA,2440000000,19.2,-0.83,278659,3.46,3.46,3.94,-,0.92,1.34,12.38,4.42,15.38,-3.75,9.4,-6.83,9.73,14.53,26.57,43.02,32.66,2.14,1.65,0.18,0.2,32.04,29.04,26.75%,127200000,87860000,30.93,-0.01,-5.97,2.71,5.53,430490,-7.9,-9.8,-3.75,9.82,-10.97,-5.36,2.76,2.27,1,1.53,1.25,0.55,-9.39,-13.38,-4.98,-20.86,12.79,26.09,-0.1,-0.52,278659
ARM,Arm Holdings plc. ADR,Technology,Semiconductors,United Kingdom,66470000000,64.78,-3.9,4633901,-,-,-,-,-,13.99,30.28,-,,,,37.92,16.23,,,,,4.33,4.33,0.04,0.04,,,-,1030000000,1020000000,0.3,,,1.19,1.21,10110000,4.78,25.8,,,,2.04,5.74,4.75,1.88,0.75,-,3.05,8.89,17.98,17.79,-5.96,39.55,60.41,-3.48,0,4633901
ARMK,Aramark,Industrials,Specialty Business Services,USA,7090000000,27.09,-0.41,428032,10.56,10.54,14.19,0.53,0.37,1.9,3.4,23.14,-10.96,25.75,2.75,19.79,5.31,1.46,4.22,20,6.32,1.04,0.92,1.87,2.32,6.8,4.77,3.58%,261450000,259700000,0.69,,0.18,4.25,2.73,4050000,-3.87,-2.73,2.33,-8.38,-8.34,-9.23,1.99,2.27,1.67,0.67,1.48,0.57,-2.27,0.66,-0.4,-17.92,15.04,44.92,-0.26,0,428032
ARMN,Aris Mining Corp,Basic Materials,Gold,Canada,412110000,3,-3.9,49600,19.49,19.47,-,-,0.96,0.68,1.95,-,,,-68.4,,13.68,,1.58,3.6,2.13,2.87,2.5,0.57,0.62,32.55,28.27,4.71%,136060000,129350000,6.15,,,1.49,26.07,73910,-5.36,21.95,24.43,23.71,17.07,20.48,6.09,5.55,-,0.99,1.42,0.17,4.66,14.51,15.31,-18.19,46.04,56.21,-3.54,-0.32,49600
ARMP,Armata Pharmaceuticals Inc,Healthcare,Biotechnology,USA,98330000,2.62,-3.15,1058,-,-,-,-,23.12,-,3.91,-,-26.85,53.28,47.94,,73.35,,-57.88,-358.6,-67.78,1.67,1.67,-,-,77.89,-1027.62,-1468.71%,36140000,10970000,69.64,,0.55,0.9,5.58,17700,-4.78,8.82,-13.09,78.62,32.82,108.87,6.46,14.16,1,0.2,0.84,0.28,11.06,11.95,21.7,-50.73,211.64,56.06,1.57,-5.56,1058
ARMR,Armor US Equity Index ETF,Financial,Exchange Traded Fund,USA,,20.38,-0.24,27886,-,-,-,-,-,-,-,-,,,,,,2.89,,,,-,-,-,-,,,-,,,,,,,-,9500,1.09,8.19,-8.28,-7.34,-4.69,0.79,0.67,0.46,-,5.73,0.8,0.17,2.6,3.55,-3.78,-12.94,11.26,65.8,1.64,-1.08,27886
